id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-A-2025-01,de,A,A2,0.0,40.0,2025-01-12,2025-01-13,2,1,1,34.6,37.2,58.58,44.12,63.4,2118.0
DE-A-2025-02,de,A,A8,0.0,40.0,2025-01-15,2025-01-22,8,1,7,23.6,27.51,61.21,51.76,68.24,9937.7
DE-A-2025-03,de,A,A6,0.0,40.0,2025-02-01,2025-02-06,6,1,5,24.5,30.4,59.43,48.34,66.06,6961.1
DE-A-2025-04,de,A,A5,0.0,40.0,2025-02-13,2025-02-17,5,1,4,20.1,27.78,59.56,50.48,67.58,6057.1
DE-A-2025-05,de,A,A5,0.0,40.0,2025-02-25,2025-03-01,5,1,4,28.2,31.4,57.86,46.43,63.15,5572.0
DE-A-2025-06,de,A,A5,0.0,40.0,2025-03-10,2025-03-14,5,1,4,24.2,28.72,58.34,48.1,63.24,5771.6
DE-A-2025-07,de,A,A2,0.0,40.0,2025-09-09,2025-09-10,2,1,1,31.0,31.6,53.44,43.0,53.58,2063.9
DE-A-2025-08,de,A,A2,0.0,40.0,2025-09-29,2025-09-30,2,1,1,35.3,36.05,53.74,40.96,55.5,1966.2
DE-A-2025-09,de,A,A3,0.0,40.0,2025-10-07,2025-10-09,3,1,2,29.9,33.47,56.11,44.14,57.77,3178.2
DE-A-2025-10,de,A,A3,0.0,40.0,2025-10-13,2025-10-15,3,1,2,25.8,28.73,55.66,46.17,59.39,3324.6
DE-A-2025-11,de,A,A4,0.0,40.0,2025-11-07,2025-11-10,4,1,3,20.6,24.88,53.68,47.17,64.61,4528.5
DE-A-2025-12,de,A,A2,0.0,40.0,2025-11-20,2025-11-21,2,1,1,27.8,31.6,62.83,49.57,61.84,2379.6
DE-A-2025-13,de,A,A3,0.0,40.0,2025-11-24,2025-11-26,3,1,2,21.9,27.97,63.02,52.21,66.01,3758.9
DE-A-2025-14,de,A,A3,0.0,40.0,2025-12-03,2025-12-05,3,1,2,20.8,22.37,63.69,56.55,68.55,4071.9
DE-A-2025-15,de,A,A2,0.0,40.0,2025-12-12,2025-12-13,2,1,1,28.1,33.2,57.08,45.08,60.16,2163.6
DE-A-2025-16,de,A,A2,0.0,40.0,2025-12-16,2025-12-17,2,1,1,34.3,36.45,61.0,45.67,57.23,2192.1
