id,country,category,label,band_lower_percent,band_upper_percent,start_date,end_date,length_days,battery_bufferable_days,critical_days,min_renewable_share_percent,avg_renewable_share_percent,avg_load_gw,avg_residual_load_gw,peak_residual_load_gw,residual_energy_gwh
DE-B-2025-01,de,B,B4,40.0,60.0,2025-01-08,2025-01-11,4,1,3,41.7,51.75,61.63,36.97,55.67,3548.6
DE-B-2025-02,de,B,B2,40.0,60.0,2025-01-25,2025-01-26,2,1,1,51.2,55.25,51.8,29.73,48.28,1426.8
DE-B-2025-03,de,B,B2,40.0,60.0,2025-01-30,2025-01-31,2,1,1,40.3,41.15,61.34,43.17,58.49,2072.1
DE-B-2025-04,de,B,B4,40.0,60.0,2025-02-09,2025-02-12,4,1,3,40.6,49.33,61.72,38.17,58.5,3664.2
DE-B-2025-05,de,B,B2,40.0,60.0,2025-02-20,2025-02-21,2,1,1,54.2,56.5,62.09,33.85,46.24,1624.7
DE-B-2025-06,de,B,B3,40.0,60.0,2025-03-02,2025-03-04,3,1,2,50.7,53.23,56.06,32.87,53.95,2366.9
DE-B-2025-07,de,B,B4,40.0,60.0,2025-03-06,2025-03-09,4,1,3,43.2,51.38,51.81,31.67,59.78,3040.1
DE-B-2025-08,de,B,B6,40.0,60.0,2025-03-15,2025-03-20,6,1,5,41.9,49.65,54.72,33.99,61.85,4894.7
DE-B-2025-09,de,B,B3,40.0,60.0,2025-03-27,2025-03-29,3,1,2,43.4,50.47,52.71,32.49,56.48,2339.5
DE-B-2025-10,de,B,B2,40.0,60.0,2025-03-31,2025-04-01,2,1,1,53.2,53.7,55.93,32.07,51.34,1539.1
DE-B-2025-11,de,B,B4,40.0,60.0,2025-04-07,2025-04-10,4,1,3,41.7,48.83,54.85,34.12,55.68,3275.8
DE-B-2025-12,de,B,B4,40.0,60.0,2025-04-16,2025-04-19,4,1,3,44.8,49.25,49.46,31.51,47.23,3025.4
DE-B-2025-13,de,B,B2,40.0,60.0,2025-04-23,2025-04-24,2,1,1,40.3,40.65,54.48,38.81,50.14,1862.7
DE-B-2025-14,de,B,B3,40.0,60.0,2025-04-28,2025-04-30,3,1,2,49.4,50.5,51.76,32.28,52.3,2324.2
DE-B-2025-15,de,B,B3,40.0,60.0,2025-05-07,2025-05-09,3,1,2,51.1,53.2,52.48,31.27,48.13,2251.5
DE-B-2025-16,de,B,B2,40.0,60.0,2025-05-19,2025-05-20,2,1,1,50.4,51.5,51.7,31.2,50.31,1497.8
DE-B-2025-17,de,B,B2,40.0,60.0,2025-06-17,2025-06-18,2,1,1,55.9,56.95,52.29,29.26,49.61,1404.6
DE-B-2025-18,de,B,B3,40.0,60.0,2025-06-30,2025-07-02,3,1,2,52.3,54.77,54.12,30.49,52.76,2195.1
DE-B-2025-19,de,B,B10,40.0,60.0,2025-07-09,2025-07-18,10,1,9,41.6,50.9,49.86,30.63,47.93,7350.4
DE-B-2025-20,de,B,B4,40.0,60.0,2025-07-25,2025-07-28,4,1,3,42.6,48.62,46.27,30.57,45.33,2935.1
DE-B-2025-21,de,B,B2,40.0,60.0,2025-08-07,2025-08-08,2,1,1,58.3,58.5,49.35,27.42,47.35,1316.1
DE-B-2025-22,de,B,B5,40.0,60.0,2025-08-11,2025-08-15,5,1,4,47.2,54.3,50.37,29.44,52.45,3533.1
DE-B-2025-23,de,B,B4,40.0,60.0,2025-08-18,2025-08-21,4,1,3,51.1,53.6,50.19,29.48,50.44,2829.8
DE-B-2025-24,de,B,B3,40.0,60.0,2025-08-25,2025-08-27,3,1,2,50.6,51.87,50.37,30.56,51.16,2200.3
DE-B-2025-25,de,B,B2,40.0,60.0,2025-09-01,2025-09-02,2,1,1,44.0,44.85,51.68,34.86,52.1,1673.5
DE-B-2025-26,de,B,B2,40.0,60.0,2025-09-05,2025-09-06,2,1,1,46.1,51.3,46.92,29.71,48.99,1426.2
DE-B-2025-27,de,B,B2,40.0,60.0,2025-09-22,2025-09-23,2,1,1,47.9,49.55,53.23,33.07,48.72,1587.6
DE-B-2025-28,de,B,B3,40.0,60.0,2025-09-26,2025-09-28,3,1,2,45.7,50.0,48.62,30.65,45.16,2206.8
DE-B-2025-29,de,B,B2,40.0,60.0,2025-10-01,2025-10-02,2,1,1,42.8,46.65,53.46,35.39,54.45,1698.5
DE-B-2025-30,de,B,B3,40.0,60.0,2025-10-10,2025-10-12,3,1,2,46.8,50.23,50.68,31.52,45.56,2269.8
DE-B-2025-31,de,B,B3,40.0,60.0,2025-10-16,2025-10-18,3,1,2,40.4,42.8,54.23,37.41,51.05,2693.2
DE-B-2025-32,de,B,B2,40.0,60.0,2025-11-05,2025-11-06,2,1,1,40.6,48.45,58.71,37.21,55.07,1786.1
DE-B-2025-33,de,B,B3,40.0,60.0,2025-11-17,2025-11-19,3,1,2,44.5,48.3,62.58,38.92,52.25,2802.1
DE-B-2025-34,de,B,B3,40.0,60.0,2025-11-27,2025-11-29,3,1,2,52.1,54.43,60.96,34.11,47.19,2455.6
DE-B-2025-35,de,B,B2,40.0,60.0,2025-12-01,2025-12-02,2,1,1,49.5,53.3,64.31,36.74,57.25,1763.5
DE-B-2025-36,de,B,B2,40.0,60.0,2025-12-14,2025-12-15,2,1,1,53.5,55.1,57.42,32.5,47.5,1560.0
DE-B-2025-37,de,B,B3,40.0,60.0,2025-12-26,2025-12-28,3,1,2,41.7,45.5,49.91,33.31,43.4,2398.3
